Trigger,Response,Intent
Where are you calling from?,We're located in Clear Water Florida,Concern
What's your company's location?,We're located in Clear Water Florida,Concern
Where is your office located?,We're located in Clear Water Florida,Concern
Are you based in the U.S.?,We're located in Clear Water Florida,Concern
Where's your headquarters?,We're located in Clear Water Florida,Concern
What city are you in?,We're located in Clear Water Florida,Concern
Where's Senior Benefits located?,We're located in Clear Water Florida,Concern
Are you a local company?,We're located in Clear Water Florida,Concern
Where is your business located?,We're located in Clear Water Florida,Concern
What state are you calling from?,We're located in Clear Water Florida,Concern
Where are your offices?,We're located in Clear Water Florida,Concern
Are you based nearby?,We're located in Clear Water Florida,Concern
What's the address of your company?,We're located in Clear Water Florida,Concern
Where do you operate from?,We're located in Clear Water Florida,Concern
Are you in Florida?,We're located in Clear Water Florida,Concern
Where's your main office?,We're located in Clear Water Florida,Concern
What's your company's home base?,We're located in Clear Water Florida,Concern
Are you a Florida company?,We're located in Clear Water Florida,Concern
Where is your company situated?,We're located in Clear Water Florida,Concern
Are you calling from out of state?,We're located in Clear Water Florida,Concern
Where's your agency located?,We're located in Clear Water Florida,Concern
What's the location of your business?,We're located in Clear Water Florida,Concern
Are you based locally or elsewhere?,We're located in Clear Water Florida,Concern
Where are you guys located?,We're located in Clear Water Florida,Concern
What's your office's location?,We're located in Clear Water Florida,Concern
Are you in the same state as me?,We're located in Clear Water Florida,Concern
Where is Senior Benefits based?,We're located in Clear Water Florida,Concern
Are you a national company?,We're located in Clear Water Florida,Concern
Where's your company's office?,We're located in Clear Water Florida,Concern
Are you calling from Florida?,We're located in Clear Water Florida,Concern
Where do you have your offices?,We're located in Clear Water Florida,Concern
What's the city you're based in?,We're located in Clear Water Florida,Concern
Are you a local business?,We're located in Clear Water Florida,Concern
Where's your company's headquarters?,We're located in Clear Water Florida,Concern
Are you based in the Southeast?,We're located in Clear Water Florida,Concern
What's your physical address?,We're located in Clear Water Florida,Concern
Where are you situated?,We're located in Clear Water Florida,Concern
Are you a regional company?,We're located in Clear Water Florida,Concern
Where's your office at?,We're located in Clear Water Florida,Concern
Are you calling from out of town?,We're located in Clear Water Florida,Concern
What state is your company in?,We're located in Clear Water Florida,Concern
Where is your agency based?,We're located in Clear Water Florida,Concern
Are you in a different state?,We're located in Clear Water Florida,Concern
What's your company's city?,We're located in Clear Water Florida,Concern
Are you based in my area?,We're located in Clear Water Florida,Concern
Where do you run your business from?,We're located in Clear Water Florida,Concern
What's the location of your office?,We're located in Clear Water Florida,Concern
Are you a Florida-based company?,We're located in Clear Water Florida,Concern
I want the rates.,"Please stay on the line, I'm getting our specialist to join us and explain the rates, discounts, and benefits of our final expense insurance. I'll be right back shortly, so please don't hang up.",Transfer Line
Can you tell me about the costs?,"Hang on just a moment, I'm bringing in our specialist to go over the pricing, discounts, and benefits of final expense insurance. Please don't hang up; I'll be back in a few seconds.",Transfer Line
How much is this going to cost?,"Please hold on, I'm connecting you with our specialist who can detail the rates, discounts, and benefits of our final expense plan. I'll be right back, so please stay on the line.",Transfer Line
What are the prices?,"Stay with me, I'm bringing our specialist on to discuss the costs, discounts, and benefits of our final expense insurance. I'll be back quickly, so please don't hang up.",Transfer Line
Can you give me more details?,"Just a moment, I'm getting our specialist to join the call and provide details on pricing, discounts, and benefits for final expense insurance. Please hold on; I'll be right back.",Transfer Line
Tell me about the rates.,"Please stay on the line, I'm fetching our specialist to explain the rates, discounts, and benefits of our final expense plan. I'll be back shortly, so please don't hang up.",Transfer Line
What's the cost of this insurance?,"Hang on, I'm bringing in our specialist to go over the costs, discounts, and benefits of final expense insurance. Please stay on; I'll be right back in a moment.",Transfer Line
Can you share the pricing?,"Please hold on, I'm getting our specialist to join us and discuss the pricing, discounts, and benefits of our final expense plan. I'll be back quickly, so don't hang up.",Transfer Line
I need more information about this.,"Stay with me, I'm connecting with our specialist to provide details on rates, discounts, and benefits for final expense insurance. Please don't hang up; I'll be right back.",Transfer Line
How much does it cost?,"Just a second, I'm bringing our specialist on to explain the costs, discounts, and benefits of our final expense insurance. Please hold on; I'll be back shortly.",Transfer Line
What's included in the plan?,"Please stay on the line, I'm getting our specialist to join and go over the plan details, rates, and discounts for final expense insurance. I'll be right back, so don't hang up.",Transfer Line
Can you tell me the price?,"Hang on a moment, I'm fetching our specialist to discuss the pricing, discounts, and benefits of our final expense plan. Please stay on; I'll be back in a few seconds.",Transfer Line
I want to know the rates.,"Please hold on, I'm bringing in our specialist to explain the rates, discounts, and benefits of final expense insurance. I'll be right back, so please don't hang up.",Transfer Line
What's the cost breakdown?,"Stay with me, I'm connecting with our specialist to go over the cost details, discounts, and benefits of our final expense plan. Please hold on; I'll be back shortly.",Transfer Line
Can you give me more info on this?,"Just a moment, I'm getting our specialist to join the call and provide more details on rates, discounts, and benefits. Please don't hang up; I'll be right back.",Transfer Line
How much is the insurance?,"Please stay on the line, I'm fetching our specialist to discuss the costs, discounts, and benefits of our final expense insurance. I'll be back quickly, so don't hang up.",Transfer Line
What are the plan details?,"Hang on, I'm bringing our specialist on to explain the plan details, rates, and discounts for final expense insurance. Please stay on; I'll be right back.",Transfer Line
Can you tell me about the pricing?,"Please hold on, I'm connecting with our specialist to go over the pricing, discounts, and benefits of our final expense plan. I'll be back shortly, so don't hang up.",Transfer Line
I need the rates and details.,"Stay with me, I'm getting our specialist to join us and discuss the rates, discounts, and benefits of final expense insurance. Please don't hang up; I'll be right back.",Transfer Line
What's the price of the policy?,"Just a second, I'm bringing in our specialist to explain the policy costs, discounts, and benefits. Please hold on; I'll be back in a moment.",Transfer Line
Can you explain the costs?,"Please stay on the line, I'm fetching our specialist to go over the costs, discounts, and benefits of our final expense plan. I'll be right back, so don't hang up.",Transfer Line
I want more details on the plan.,"Hang on a moment, I'm connecting with our specialist to provide details on the plan, rates, and discounts. Please stay on; I'll be back shortly.",Transfer Line
How much will this cost me?,"Please hold on, I'm getting our specialist to join the call and discuss the costs, discounts, and benefits of final expense insurance. I'll be right back, so don't hang up.",Transfer Line
Can you give me the rates?,"Stay with me, I'm bringing in our specialist to explain the rates, discounts, and benefits of our final expense plan. Please don't hang up; I'll be back in a few seconds.",Transfer Line
What's the pricing like?,"Just a moment, I'm fetching our specialist to go over the pricing, discounts, and benefits of final expense insurance. Please hold on; I'll be right back.",Transfer Line
I need more info on the policy.,"Please stay on the line, I'm connecting with our specialist to provide details on the policy, rates, and discounts. I'll be back shortly, so don't hang up.",Transfer Line
Can you tell me the cost details?,"Hang on, I'm getting our specialist to join us and explain the cost details, discounts, and benefits of our final expense plan. Please stay on; I'll be right back.",Transfer Line
What are the benefits of this plan?,"Please hold on, I'm bringing in our specialist to discuss the benefits, rates, and discounts of final expense insurance. I'll be back quickly, so don't hang up.",Transfer Line
How much is the coverage?,"Stay with me, I'm fetching our specialist to go over the coverage costs, discounts, and benefits. Please don't hang up; I'll be right back in a moment.",Transfer Line
Can you share more about the plan?,"Just a second, I'm connecting with our specialist to provide more details on the plan, rates, and discounts. Please hold on; I'll be back shortly.",Transfer Line
What's the cost for this?,"Please stay on the line, I'm getting our specialist to join the call and explain the costs, discounts, and benefits of our final expense insurance. I'll be right back, so don't hang up.",Transfer Line
I want to know more about the rates.,"Hang on a moment, I'm bringing in our specialist to discuss the rates, discounts, and benefits of final expense insurance. Please stay on; I'll be back quickly.",Transfer Line
Can you tell me about the discounts?,"Please hold on, I'm fetching our specialist to go over the discounts, rates, and benefits of our final expense plan. I'll be right back, so don't hang up.",Transfer Line
What's the price range?,"Stay with me, I'm connecting with our specialist to explain the price range, discounts, and benefits of final expense insurance. Please don't hang up; I'll be back shortly.",Transfer Line
I need details on the coverage.,"Just a moment, I'm getting our specialist to join us and provide details on the coverage, rates, and discounts. Please hold on; I'll be right back.",Transfer Line
Can you give me a price quote?,"Please stay on the line, I'm bringing in our specialist to discuss the price quote, discounts, and benefits of our final expense plan. I'll be back quickly, so don't hang up.",Transfer Line
What are the policy rates?,"Hang on, I'm fetching our specialist to go over the policy rates, discounts, and benefits. Please stay on; I'll be right back in a moment.",Transfer Line
Can you explain the plan benefits?,"Please hold on, I'm connecting with our specialist to explain the benefits, rates, and discounts of final expense insurance. I'll be back shortly, so don't hang up.",Transfer Line
How much is the premium?,"Stay with me, I'm getting our specialist to join the call and discuss the premiums, discounts, and benefits of our final expense plan. Please don't hang up; I'll be right back.",Transfer Line
What's the cost of the plan?,"Just a second, I'm bringing in our specialist to go over the plan costs, discounts, and benefits. Please hold on; I'll be back quickly.",Transfer Line
Can you tell me more about the policy?,"Please stay on the line, I'm fetching our specialist to provide more details on the policy, rates, and discounts. I'll be right back, so don't hang up.",Transfer Line
I want to know the pricing details.,"Hang on a moment, I'm connecting with our specialist to discuss the pricing details, discounts, and benefits of final expense insurance. Please stay on; I'll be back shortly.",Transfer Line
What's covered in this insurance?,"Please hold on, I'm getting our specialist to join us and explain the coverage, rates, and discounts of our final expense plan. I'll be back quickly, so don't hang up.",Transfer Line
Can you give me a cost estimate?,"Stay with me, I'm bringing in our specialist to provide a cost estimate, discounts, and benefits for final expense insurance. Please don't hang up; I'll be right back.",Transfer Line
How much are the rates?,"Just a moment, I'm fetching our specialist to go over the rates, discounts, and benefits of our final expense plan. Please hold on; I'll be back shortly.",Transfer Line
What's the policy's cost?,"Please stay on the line, I'm connecting with our specialist to discuss the policy costs, discounts, and benefits. I'll be right back, so don't hang up.",Transfer Line
Can you tell me about the plan options?,"Hang on, I'm getting our specialist to join the call and explain the plan options, rates, and discounts. Please stay on; I'll be back in a moment.",Transfer Line
I need more info on the rates.,"Please hold on, I'm bringing in our specialist to provide details on the rates, discounts, and benefits of final expense insurance. I'll be back quickly, so don't hang up.",Transfer Line
What's the price for this plan?,"Stay with me, I'm fetching our specialist to go over the plan's price, discounts, and benefits. Please don't hang up; I'll be right back shortly.",Transfer Line
Can you explain the pricing and benefits?,"Just a moment, I'm connecting with our specialist to discuss the pricing, benefits, and discounts of our final expense plan. Please hold on; I'll be back in a few seconds.",Transfer Line
I'm interested.,"Please stay on the line, I'm transferring you to our senior agent to discuss your options further. Don't hang up; I'll be right back with them shortly.",Transfer Line
This sounds good.,"Hold on a moment, I'm connecting you with our senior agent to go over everything in detail. Please stay on the line; it'll just be a second.",Transfer Line
I'd like to learn more.,"Please don't hang up, I'm transferring your call to our senior agent who can provide more details. I'll be right back in a moment.",Transfer Line
I'm interested in this.,"Stay with me, I'm getting our senior agent on the line to guide you further. Please hold on; I'll be back quickly.",Transfer Line
Tell me more about it.,"Just a moment, I'm transferring you to our senior agent to explain everything. Don't hang up; I'll connect you shortly.",Transfer Line
This sounds interesting.,"Please stay on the line, I'm bringing our senior agent on to discuss your options. Hold on; I'll be right back.",Transfer Line
I want to know more.,"Hold on, I'm connecting you with our senior agent for more information. Please don't hang up; I'll be back in a second.",Transfer Line
I'm curious about this.,"Please stay on, I'm transferring your call to our senior agent to go over the details. I'll be right back; just hold on.",Transfer Line
This plan sounds good.,"Just a sec, I'm getting our senior agent to join us and discuss further. Please stay on the line; I'll be back quickly.",Transfer Line
I'd like more details.,"Don't hang up, I'm transferring you to our senior agent who can provide all the details. Hold on; I'll connect you in a moment.",Transfer Line
I'm interested in the plan.,"Please hold on, I'm bringing our senior agent on to guide you further. Stay on the line; I'll be right back.",Transfer Line
This sounds worth exploring.,"Stay with me, I'm connecting you with our senior agent to talk more about this. Please don't hang up; I'll be back shortly.",Transfer Line
I want to hear more.,"Please stay on the line, I'm transferring you to our senior agent for a detailed discussion. Hold on; I'll be right back.",Transfer Line
I'm interested in learning more.,"Just a moment, I'm getting our senior agent to join the call and explain everything. Don't hang up; I'll connect you quickly.",Transfer Line
This seems like a good option.,"Hold on, I'm transferring your call to our senior agent to go over your options. Please stay on; I'll be back in a second.",Transfer Line
I'd like to know about the plan.,"Please don't hang up, I'm bringing our senior agent on to discuss the plan in detail. I'll be right back; just hold on.",Transfer Line
I'm interested in your offer.,"Stay on the line, I'm connecting you with our senior agent to provide more information. Please hold; I'll be back shortly.",Transfer Line
Can you tell me more?,"Just a sec, I'm transferring you to our senior agent who can explain everything further. Don't hang up; I'll be right back.",Transfer Line
This sounds appealing.,"Please stay on, I'm getting our senior agent to join us and go over the details. Hold on; I'll connect you in a moment.",Transfer Line
I'm interested in the coverage.,"Hold on a moment, I'm bringing our senior agent on to discuss the coverage further. Please stay on the line; I'll be back quickly.",Transfer Line
I want more info on this.,"Please don't hang up, I'm transferring your call to our senior agent for more details. I'll be right back; just stay on.",Transfer Line
This plan sounds interesting.,"Stay with me, I'm connecting you with our senior agent to talk about the plan. Please hold on; I'll be back in a second.",Transfer Line
I'd like to explore this further.,"Please stay on the line, I'm getting our senior agent to join and provide more information. Don't hang up; I'll be right back.",Transfer Line
I'm interested in the policy.,"Hold on, I'm transferring you to our senior agent to discuss the policy details. Please stay on; I'll connect you shortly.",Transfer Line
This sounds like something I want.,"Just a moment, I'm bringing our senior agent on to go over everything with you. Don't hang up; I'll be back quickly.",Transfer Line
I'd like more information.,"Please stay on, I'm connecting with our senior agent to provide all the details. Hold on; I'll be right back in a moment.",Transfer Line
I'm interested in what you offer.,"Stay on the line, I'm transferring your call to our senior agent for further guidance. Please don't hang up; I'll be back shortly.",Transfer Line
This sounds promising.,"Please hold on, I'm getting our senior agent to join us and discuss your options. I'll be right back; just stay on.",Transfer Line
I want to know about this plan.,"Just a sec, I'm connecting you with our senior agent to explain the plan in detail. Please stay on the line; I'll be back quickly.",Transfer Line
I'm interested in hearing more.,"Please don't hang up, I'm transferring you to our senior agent for a detailed discussion. Hold on; I'll be right back.",Transfer Line
This sounds like a good deal.,"Stay with me, I'm bringing our senior agent on to go over the details. Please stay on; I'll connect you in a moment.",Transfer Line
I'd like to know the details.,"Hold on a moment, I'm transferring your call to our senior agent to provide all the details. Don't hang up; I'll be back shortly.",Transfer Line
I'm interested in your plans.,"Please stay on the line, I'm getting our senior agent to join and discuss our plans further. I'll be right back; just hold on.",Transfer Line
This sounds worth looking into.,"Stay on, I'm connecting you with our senior agent to talk more about this. Please don't hang up; I'll be back in a second.",Transfer Line
I want to learn about the coverage.,"Please hold on, I'm transferring you to our senior agent to explain the coverage details. I'll be right back; stay on the line.",Transfer Line
I'm interested in the benefits.,"Just a moment, I'm bringing our senior agent on to discuss the benefits and details. Don't hang up; I'll connect you quickly.",Transfer Line
This plan seems good.,"Please stay on, I'm getting our senior agent to join us and go over the plan. Hold on; I'll be right back in a moment.",Transfer Line
I'd like to hear about the options.,"Hold on, I'm transferring your call to our senior agent to discuss your options. Please stay on the line; I'll be back shortly.",Transfer Line
I'm interested in the insurance.,"Please don't hang up, I'm connecting with our senior agent to provide more information on the insurance. I'll be right back; just hold on.",Transfer Line
This sounds like a good idea.,"Stay with me, I'm bringing our senior agent on to explain everything further. Please stay on; I'll be back quickly.",Transfer Line
I want more details on this.,"Please stay on the line, I'm transferring you to our senior agent for a detailed discussion. Don't hang up; I'll be right back.",Transfer Line
I'm interested in exploring this.,"Just a moment, I'm getting our senior agent to join and go over your options. Please hold on; I'll connect you shortly.",Transfer Line
This sounds like something I need.,"Hold on, I'm transferring your call to our senior agent to discuss this further. Please stay on the line; I'll be back in a second.",Transfer Line
I'd like to know more about it.,"Please stay on, I'm connecting with our senior agent to provide more details. Don't hang up; I'll be right back.",Transfer Line
I'm interested in the program.,"Stay on the line, I'm bringing our senior agent on to explain the program in detail. Please hold on; I'll be back shortly.",Transfer Line
This seems like a good plan.,"Please hold on, I'm transferring you to our senior agent to go over the plan details. I'll be right back; just stay on.",Transfer Line
I want to hear about this.,"Just a sec, I'm connecting you with our senior agent for a full discussion. Please don't hang up; I'll be back quickly.",Transfer Line
I'm interested in what you have.,"Please stay on the line, I'm getting our senior agent to join us and discuss what we offer. Hold on; I'll be right back.",Transfer Line
This sounds really good.,"Stay with me, I'm transferring your call to our senior agent to go over everything. Please stay on; I'll connect you in a moment.",Transfer Line

not inteested,"I understand, but could I quickly provide you with a no-cost quote for your consideration? It's a great way to see the benefits with no obligation.",Rebuttal
fuck off man,"I apologize if I've bothered you. Our goal is to offer valuable information and assistance. If you change your mind, we're here to help with a quick and no-cost quote.",Rebuttal
fuckk off,"I apologize if I've upset you. If you change your mind, we can provide a quick and no-cost quote to help you explore your options.",Rebuttal
who are you,"I am a sales agent from Senior Benefits, a division of US Life, offering final expense insurance. We provide coverage for funeral burial or cremation expenses. Would you like a quick, no-cost quote?",Concern
where did you get my numbr,"We obtain phone numbers from public records and databases to offer our services. If you're interested, we can provide a quick, no-cost quote to help you better understand the coverage we offer.",Concern
fuck off mann,I apologize if I caught you at a bad time. Would you be open to a no-cost quote to see how our Final Expense Whole Life Insurance Plan can benefit you?,Rebuttal
ok,Great! Just a few quick questions and we can provide you with a no-cost quote for our final expense whole life insurance plan. Let's get started!,Rebuttal
ok,Great! Let's address any concerns you may have and provide you with a personalized quote. Just a few more questions to get started.,Rebuttal
yes,Great! Let's address any concerns you may have and provide you with a personalized quote. Just a few more questions to get started.,Rebuttal
how are you today,"Sorry, I couldn't generate a response. Please try again.",Concern
what is this,"This is Senior Benefits, offering final expense whole life insurance to cover funeral expenses. I can connect you with a licensed agent for more details.",Transfer Line
